method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0
scope,1024,8,365,4.631583873295007,4.881087184759796,-0.24950331146478888,0.24950331146478888,0.051116339868669494,0.06225190243189545,0.365234375,-0.7
naive,1024,8,366,4.081750869750977,4.875213424612442,-0.7934625548614651,0.7934625548614651,0.16275442442287374,0.6295828259672835,0.376220703125,-0.7
prox,1024,8,366,4.856789588928223,4.875213424612442,-0.018423835684219014,0.018423835684219014,0.0037790828994699096,0.00033943772131910194,0.376220703125,-0.7
ipw,1024,8,366,4.035582542419434,4.875213424612442,-0.8396308821930081,0.8396308821930081,0.1722244359506692,0.704980018332209,0.376220703125,-0.7
impute,1024,8,366,-0.38945236802101135,4.875213424612442,-5.264665792633453,5.264665792633453,1.0798841679535232,27.716705908124823,0.376220703125,-0.7
scope,1024,8,366,4.449990220588645,4.875213424612442,-0.4252232040237969,0.4252232040237969,0.08722145411666778,0.18081477324026357,0.376220703125,-0.7
naive,1024,8,367,4.185685634613037,4.890062404216469,-0.7043767696034315,0.7043767696034315,0.14404249094982527,0.4961466335569657,0.3837890625,-0.7
prox,1024,8,367,4.944153308868408,4.890062404216469,0.05409090465193955,0.05409090465193955,0.011061393532585501,0.002925825966065216,0.3837890625,-0.7
ipw,1024,8,367,4.243000507354736,4.890062404216469,-0.6470618968617323,0.6470618968617323,0.13232180765296606,0.4186890983703031,0.3837890625,-0.7
impute,1024,8,367,-3.0506949424743652,4.890062404216469,-7.940757346690834,7.940757346690834,1.62385603501581,63.05562723902445,0.3837890625,-0.7
scope,1024,8,367,5.250698401225936,4.890062404216469,0.36063599700946725,0.36063599700946725,0.07374875148801945,0.13005832233901246,0.3837890625,-0.7
naive,1024,8,368,4.279709815979004,4.902035561004741,-0.6223257450257371,0.6223257450257371,0.12695251539509084,0.38728933292183876,0.3739013671875,-0.7
prox,1024,8,368,5.049604892730713,4.902035561004741,0.14756933172597186,0.14756933172597186,0.0301036844571004,0.021776707666049926,0.3739013671875,-0.7
ipw,1024,8,368,4.299443244934082,4.902035561004741,-0.602592316070659,0.602592316070659,0.12292695729590938,0.363117499387401,0.3739013671875,-0.7
impute,1024,8,368,0.32136449217796326,4.902035561004741,-4.580671068826778,4.580671068826778,0.9344426436367803,20.982547440786654,0.3739013671875,-0.7
scope,1024,8,368,5.521398342976441,4.902035561004741,0.6193627819716996,0.6193627819716996,0.12634808015239132,0.3836102556917231,0.3739013671875,-0.7
